B_0001,Title,Score,Rating,Genre,Directed By,Written By,Box Office,Release Date,Runtime,Studio
B_0002,Justice League,40,PG-13,Action & Adventure;Drama;Science Fiction & Fantasy,Zack Snyder,Chris Terrio;Joss Whedon,227032490,2017-11-17,110,Warner Bros. Pictures
B_0003,Ferdinand,71,PG,Animation;Comedy;Drama,Carlos Saldanha,Robert L. Baird;Tim Federle;Brad Copeland,70466891,2017-12-15,NA,
B_0004,Court,100,NOT RATED,Drama,Chaitanya Tamhane,Chaitanya Tamhane,NA,2015-07-15,116,Zeitgeist Films
B_0005,Thor: Ragnarok,92,PG-13,Action & Adventure;Drama;Science Fiction & Fantasy,Taika Waititi,Eric Pearson,314971245,2017-11-03,130,Walt Disney Pictures
B_0006,Pitch Perfect 3,32,PG-13,Comedy,Trish Sie,Mike White;Kay Cannon,104880310,2017-12-22,NA,
B_0007,Jumanji: Welcome to the Jungle,76,PG-13,Action & Adventure;Drama;Kids & Family;Science Fiction & Fantasy,Jake Kasdan,Chris McKenna;Erik Sommers;Scott Rosenberg;Jeff Pinkner,393201353,2017-12-20,112,Columbia Pictures
B_0008,The Disaster Artist,91,R,Comedy,James Franco,Scott Neustadter;Michael H. Weber,NA,2017-12-08,104,A24
B_0009,Lady Bird,99,R,Comedy;Drama,Greta Gerwig,Greta Gerwig,48285330,2017-11-03,93,A24
B_0010,Downsizing,51,R,Comedy;Drama,Alexander Payne,Alexander Payne;Jim Taylor,22932429,2017-12-22,NA,
B_0011,The Breadwinner,94,PG-13,Animation;Drama;Kids & Family,Nora Twomey,Anita Doron,228056,2017-11-17,93,NA
B_0012,Small Town Crime,75,R,Drama;Mystery & Suspense,Eshom Nelms;Ian Nelms,Eshom Nelms;Ian Nelms,NA,2018-01-19,91,Saban Films
B_0013,Wonder Wheel,31,PG-13,Drama,Woody Allen,Woody Allen,NA,2017-12-01,101,Amazon Studios
B_0014,Porto,50,NOT RATED,Drama,Gabe Klinger,Gabe Klinger;Larry Gross,11823,2017-11-17,76,
B_0015,The Forgiven,52,R,Drama;Mystery & Suspense,Roland JoffÃÂ©,Roland JoffÃÂ©;Michael Ashton,NA,2018-03-09,NA,
B_0016,1:54,40,NOT RATED,Art House & International;Drama,Yan England,Yan England,NA,2018-03-09,106,
B_0017,Call Me by Your Name,95,R,Drama;Romance,Luca Guadagnino,James Ivory,NA,2018-01-19,130,
B_0018,The Vanishing of Sidney Hall,9,R,Drama;Mystery & Suspense,Shawn Christensen,Shawn Christensen;Jason Dolan,NA,2018-03-02,120,
B_0019,Song of Granite,87,NOT RATED,Art House & International;Documentary;Drama,Pat Collins,Sharon Whooley;Eoghan Mac Giolla Bhride;Pat Collins,4230,2017-11-15,104,Marcie Films Limited
B_0020,Frank Serpico,75,NOT RATED,Documentary,Antonino D'Ambrosio,Antonino D'Ambrosio,7489,2017-11-01,96,
B_0021,The Shape of Water,92,R,Drama;Science Fiction & Fantasy;Romance,Guillermo del Toro,Guillermo del Toro;Vanessa Taylor,57393976,2017-12-22,119,Fox Searchlight Pictures
B_0022,Kickboxer: Retaliation,91,R,Action & Adventure;Drama,Dimitri Logothetis,Dimitri Logothetis,NA,2018-01-26,110,Well Go USA Entertainment
B_0023,"I, Tonya",90,R,Drama,Craig Gillespie,Steven Rogers,28950158,2018-01-19,119,NEON
B_0024,Dear Dictator,16,NOT RATED,Comedy,Lisa Addario;Joe Syracuse,Lisa Addario;Joe Syracuse,NA,2018-03-16,90,
B_0025,Allure,44,NOT RATED,Drama;Romance,Carlos Sanchez;Jason Sanchez,Carlos Sanchez;Jason Sanchez,NA,2018-03-16,105,
B_0026,Josie,14,NOT RATED,Drama;Mystery & Suspense,Eric England,Anthony Ragnone II,NA,2018-03-16,87,Screen Media Films
B_0027,Furlough,20,R,Comedy,Laurie Collyer,Barry Strugatz,NA,2018-03-16,NA,
B_0028,Benji,56,NOT RATED,Kids & Family,Brandon Camp,Brandon Camp,NA,2018-03-16,NA,
B_0029,Demon House,50,NOT RATED,Documentary;Horror,Zak Bagans,Zak Bagans,NA,2018-03-16,111,
B_0030,Juggernaut,57,NOT RATED,Drama,Daniel DiMarco,Daniel DiMarco,NA,2018-03-09,NA,levelFILM
