,_id,ltable_ID,rtable_ID,ltable_Title,ltable_Genre,ltable_Score,ltable_Rating,rtable_Title,rtable_Genre,rtable_Score,rtable_Rating,label
229,229,A_0008,B_0284,Game of Thrones,Action;Adventure;Drama,95,TV-MA,Newness,Drama,69,NOT RATED,0
483,483,A_0010,B_1144,Arrow,Action;Adventure,78,TV-14,Rhythm 'N' Bayous: A Road Map To Louisiana Music (2000),Documentary;Musical,40,NOT RATED,0
1245,1245,A_0016,B_1038,The Flash,Action;Adventure;Drama,80,TV-PG,The Steps,Comedy;Drama;Film-Noir,33,NOT RATED,0
1302,1302,A_0016,B_1980,The Flash,Action;Adventure;Drama,80,TV-PG,The Year Dolly Parton Was My Mom2011,Comedy;Drama,40,NOT RATED,0
1317,1317,A_0016,B_2257,The Flash,Action;Adventure;Drama,80,TV-PG,See No Evil 2,Horror,60,R,0
1785,1785,A_0019,B_0724,La casa de papel,Action;Mystery,88,TV-MA,A Month Of Sundays,Comedy;Film-Noir,63,PG-13,0
3472,3472,A_0041,B_0284,Daredevil,Action;Drama,87,TV-MA,Newness,Drama,69,NOT RATED,0
4812,4812,A_0058,B_0032,Friends,Comedy;Romance,89,TV-14,Prodigy,Drama;Fantasy;Mystery;Sci-Fi;Thriller,80,NOT RATED,0
6423,6423,A_0075,B_1102,Roseanne,Comedy,0,TV-PG,,,0,NOT RATED,0
6896,6896,A_0077,B_2819,Orange Is the New Black,Comedy;Drama,82,TV-MA,The Sound Of Music Live!,Musical,44,NOT RATED,0
8169,8169,A_0086,B_1920,Good Girls,Comedy;Drama,72,TV-14,Outside Bet,Comedy;Film-Noir,0,NOT RATED,0
9560,9560,A_0097,B_0093,Supernatural,Drama;Fantasy;Horror,85,TV-14,Hellraiser: Judgment,Horror,50,NOT RATED,0
10220,10220,A_0101,B_1443,Criminal Minds,Drama;Mystery,81,TV-14,Cut Snake,Mystery;Thriller,67,R,0
11135,11135,A_0108,B_0862,Westworld,Drama;Mystery;Sci-Fi,89,TV-MA,Orange Sunshine,Action;Adventure;Documentary,100,NOT RATED,0
11597,11597,A_0111,B_1920,The 100,Drama;Mystery;Sci-Fi,78,TV-14,Outside Bet,Comedy;Film-Noir,0,NOT RATED,0
12174,12174,A_0116,B_1796,The Vampire Diaries,Drama;Fantasy;Horror,78,TV-14,A Few Best Men,Comedy,15,NOT RATED,0
12429,12429,A_0118,B_0119,Doctor Who,Adventure;Drama;Family,87,TV-PG,Victor Crowley,Comedy;Horror,44,NOT RATED,0
13137,13137,A_0122,B_2040,Dark,Drama;Mystery,87,TV-MA,Big Driver,Mystery;Thriller,50,NOT RATED,0
13835,13835,A_0127,B_1151,Bones,Comedy;Drama,79,TV-14,Of Men And War,Documentary,100,NOT RATED,0
14061,14061,A_0128,B_1765,True Detective,Drama;Mystery,90,TV-MA,La religieuse (The Nun),Drama,75,NOT RATED,0
14730,14730,A_0134,B_0490,House M.D.,Drama;Mystery,88,TV-14,"Can't Stop, Won't Stop: A Bad Boy Story",Documentary,38,NOT RATED,0
