Unnamed: 0,_id,ltable_ID,rtable_ID,ltable_Title,ltable_Genre,ltable_Score,ltable_Release Date,ltable_Rating,ltable_Directed By,ltable_Written By,ltable_Studio,rtable_Title,rtable_Genre,rtable_Score,rtable_Release Date,rtable_Rating,rtable_Directed By,rtable_Written By,rtable_Studio,label
1919,1919,A_2947,B_0543,Rock Dog,Adventure;Animation;Comedy,59,2017-02-24,PG,Ash Brannon,Ash Brannon;Kurt Voelker,Huayi Tencent Entertainment Company;Mandoo Pictures;Summit Premiere,Rock Dog,Animation;Comedy;Family,47,2017-02-24,PG,Ash Brannon,Ash Brannon;Kurt Voelker,Summit Premiere,1
291,291,A_0447,B_1658,It Follows,Horror;Mystery,69,2015-03-27,R,David Robert Mitchell,David Robert Mitchell,Animal Kingdom;Northern Lights Films;Two Flints,It Follows,Horror,97,2015-04-03,R,David Robert Mitchell,David Robert Mitchell,Radius-TWC,1
1845,1845,A_2880,B_1986,Prince of Persia: The Sands of Time,Action;Adventure;Fantasy,66,2010-05-28,PG-13,Mike Newell,Boaz Yakin;Doug Miro,Jerry Bruckheimer Films;Walt Disney Pictures,The Color of Time,Drama,5,2014-12-12,R,Alexis Gambis;Brooke Goldfinch;Bruce Thierry Cheung;Edna Luise Biesold;Gabrielle Demeestere;Omar Zuniya Hidalgo;Pamela Romanowsky;Sarah-Violet Bliss;Shripriya Mahesh;Shruti Ganguly;Tine Thomasen;Virginia Urreiztieta,Alexis Gambis;Brooke Goldfinch;Bruce Thierry Cheung;Edna Luise Biesold;Gabrielle Demeestere;Omar Zuniya Hidalgo;Pamela Romanowsky;Sarah-Violet Bliss;Shripriya Mahesh;Shruti Ganguly;Tine Thomasen;Virginia Urreiztieta,,0
1259,1259,A_1876,B_0837,Looking Glass,Thriller,45,2018-02-16,R,Tim Hunter,Jerry Rapp;Matthew Wilder,Kirk Shaw Productions;Prettybird;Silver State Production Services,Alice Through the Looking Glass,Action;Adventure;Family;Fantasy;Sci-Fi,29,2016-05-27,PG,James Bobin,Linda Woolverton,Walt Disney Pictures,0
1077,1077,A_1627,B_2759,Tourism Australia: Dundee - The Son of a Legend Returns Home,Comedy,82,2018-02-04,NOT RATED,Steve Rogers,,Rimfire Films,St Trinian's II: The Legend of Fritton's Gold2009,Action;Adventure;Comedy,14,2009-12-31,NOT RATED,Barnaby Thompson;Oliver Parker,Nick Moorcroft;Piers Ashworth,PreviewNetworks,0
1111,1111,A_1696,B_1349,Teenage Mutant Ninja Turtles: Out of the Shadows,Action;Adventure;Comedy,60,2016-06-03,PG-13,Dave Green,André Nemec;Josh Appelbaum,Nickelodeon Movies;Paramount Pictures;Platinum Dunes,Time Out Of Mind,Drama,79,2015-09-11,NOT RATED,Oren Moverman,Jeffrey Caine;Oren Moverman,,0
713,713,A_1021,B_1240,The Good Dinosaur,Adventure;Animation;Comedy,67,2015-11-25,PG,Peter Sohn,Bob Peterson;Peter Sohn,Pixar Animation Studios;Walt Disney Pictures,The Good Dinosaur,Action;Adventure;Animation;Comedy;Family,77,2015-11-25,PG,Peter Sohn,Meg LeFauve,Disney/Pixar,1
401,401,A_0603,B_0903,What Happened to Monday,Action;Adventure,69,2017-08-18,TV-MA,Tommy Wirkola,Kerry Williamson;Max Botkin,Nexus Factory;Raffaella Productions;SND Films,"What Happened, Miss Simone?",Documentary,87,2015-06-24,NOT RATED,Liz Garbus,,Netflix,0
1222,1222,A_1835,B_2949,Turbo,Adventure;Animation;Comedy,65,2013-07-17,PG,David Soren,Darren Lemke;Robert D. Siegel,DreamWorks Animation,Turbo,Animation;Family,67,2013-07-17,PG,David Soren,Darren Lemke;David Soren,DreamWorks Animation,1
107,107,A_0214,B_0275,The Emoji Movie,Adventure;Animation;Comedy,31,2017-07-28,PG,Tony Leondis,Eric Siegel;Tony Leondis,Columbia Pictures;LStar Capital;Sony Pictures Animation,The Emoji Movie,Animation;Comedy;Family,9,2017-07-28,PG,Anthony Leondis,Anthony Leondis;Eric Siegel;Mike White,Sony Pictures Animation,1
1913,1913,A_2939,B_2642,I Am the Pretty Thing That Lives in the House,Horror;Thriller,46,2016-10-28,NOT RATED,Oz Perkins,Oz Perkins,Go Insane Films;Paris Film;Zed Filmworks,I Am Divine,Documentary,96,2013-10-25,NOT RATED,Jeffrey Schwarz,,Wolfe Releasing,0
1683,1683,A_2662,B_0655,Perfume: The Story of a Murderer,Drama;Fantasy,75,2007-01-05,R,Tom Tykwer,Andrew Birkin;Bernd Eichinger,Constantin Film;Nouvelles �ditions de Films (NEF);VIP 4 Medienfonds,Sound of Redemption: The Frank Morgan Story,Documentary,100,2015-12-02,NOT RATED,N.C. Heikin,N.C. Heikin,Hieronymus Pictures,0
920,920,A_1379,B_1781,Before I Fall,Drama;Mystery,64,2017-03-03,PG-13,Ry Russo-Young,Lauren Oliver;Maria Maggenti,Awesomeness Films;Jon Shestack Productions,Just Before I Go,Comedy;Drama,10,2015-04-24,R,Courteney Cox,Dave Flebotte;David Flebotte,,0
1185,1185,A_1765,B_1892,30 Days of Night,Horror;Thriller,66,2007-10-19,R,David Slade,Steve Niles;Stuart Beattie,Columbia Pictures;Dark Horse Entertainment;Ghost House Pictures,Night at the Museum: Secret of the Tomb,Action;Adventure;Comedy,49,2014-12-19,PG,Shawn Levy,David Guion;Michael Handelman,20th Century Fox,0
517,517,A_0734,B_0300,Miraculous: Tales of Ladybug & Cat Noir,Action;Adventure;Animation,82,1900-1-1,TV-Y7,,,Method Animation;Toei Animation;Zagtoon,Pirates of the Caribbean: Dead Men Tell No Tales,Action;Adventure;Drama,30,2017-05-26,PG-13,Espen Sandberg;Joachim RÃÂ¸nning,Jeff Nathanson,Walt Disney Pictures,0
1513,1513,A_2309,B_1380,Goodnight Mommy,Horror;Mystery;Thriller,67,2015-09-11,R,Severin Fiala;Veronika Franz,Severin Fiala;Veronika Franz,Ulrich Seidl Film Produktion GmbH,"Goodnight Mommy (Ich seh, Ich seh)",Drama;Horror,86,2015-09-11,R,Severin Fiala;Veronika Franz,Severin Fiala;Veronika Franz,Radius-TWC,0
1670,1670,A_2608,B_0617,Solace,Drama;Mystery,64,2016-12-16,R,Afonso Poyart,Sean Bailey;Ted Griffin,Eden Rock Media;FilmNation Entertainment;Flynn Picture Company,Solace,Drama;Mystery;Thriller,25,2016-12-16,R,Afonso Poyart,Sean Bailey;Ted Griffin,,1
1359,1359,A_2041,B_2947,Austin Powers: International Man of Mystery,Adventure;Comedy,70,1997-05-02,PG-13,Jay Roach,Mike Myers,Capella International;Eric's Boy;Juno Pix,Man of Steel,Action;Adventure;Fantasy;Sci-Fi,55,2013-06-14,PG-13,Zack Snyder,Christopher Nolan;David S. Goyer;Kurt Johnstad,Warner Bros. Pictures,0
1963,1963,A_2986,B_2071,Teenage Mutant Ninja Turtles,Action;Adventure;Animation,79,1900-1-1,TV-Y7,,David Wise;Kevin Eastman;Peter Laird,Fred Wolf Films;Mirage Studios;Murakami Wolf Swenson,Teenage Mutant Ninja Turtles,Action;Adventure;Fantasy;Sci-Fi,22,2014-08-08,PG-13,Jonathan Liebesman,AndrÃ© Nemec;Josh Appelbaum,Paramount Pictures,1
1418,1418,A_2144,B_2013,The Boxtrolls,Adventure;Animation;Comedy,68,2014-09-26,PG,Anthony Stacchi;Graham Annable,Adam Pava;Irena Brignull,Focus Features;Laika Entertainment,The Boxtrolls,Action;Adventure;Animation;Comedy;Family;Fantasy;Sci-Fi,75,2014-09-26,PG,Aaron Sorenson;Anthony Stacchi;Graham Annable,Adam Pava;Anthony Stacchi;Irena Brignull;Phil Dale,Focus Features,1
1082,1082,A_1628,B_0776,Life of the Party,Comedy,0,2018-05-11,PG-13,Ben Falcone,Ben Falcone;Melissa McCarthy,New Line Cinema;On the Day;Warner Bros.,The Secret Life of Pets,Animation;Comedy,75,2016-07-08,PG,Chris Renaud;Yarrow Cheney,Brian Lynch;Cinco Paul;Ken Daurio,Universal Pictures,0
1116,1116,A_1696,B_2324,Teenage Mutant Ninja Turtles: Out of the Shadows,Action;Adventure;Comedy,60,2016-06-03,PG-13,Dave Green,André Nemec;Josh Appelbaum,Nickelodeon Movies;Paramount Pictures;Platinum Dunes,Out of the Clear Blue Sky,Documentary,90,2013-09-06,NOT RATED,Danielle Gardner,Danielle Gardner,Area 23a,0
250,250,A_0387,B_2196,Lara Croft Tomb Raider: The Cradle of Life,Action;Adventure;Fantasy,55,2003-07-25,PG-13,Jan de Bont,Dean Georgaris;Steven E. de Souza,British Broadcasting Corporation (BBC);Mutual Film Company;Paramount Pictures,Life Of Crime,Comedy;Drama,65,2014-08-29,R,Daniel Schechter,Daniel Schechter,Roadside Atrractions,0
601,601,A_0860,B_2696,The Hunger Games: Catching Fire,Action;Adventure;Mystery,75,2013-11-22,PG-13,Francis Lawrence,Michael Arndt;Simon Beaufoy,Color Force;Lionsgate,The Hunger Games: Catching Fire,Action;Adventure;Fantasy;Sci-Fi,89,2013-11-22,PG-13,Francis Lawrence,Michael DeBruyn;Simon Beaufoy;Suzanne Collins,Lionsgate Films,1
1677,1677,A_2652,B_0906,Indiana Jones and the Temple of Doom,Action;Adventure,76,1984-05-23,PG,Steven Spielberg,Gloria Katz;Willard Huyck,Lucasfilm;Paramount Pictures,Free State of Jones,Action;Adventure;Drama,46,2016-06-24,R,Gary Ross,Gary Ross,STX Entertainment,0
431,431,A_0652,B_2254,Gods of Egypt,Action;Adventure;Fantasy,54,2016-02-26,PG-13,Alex Proyas,Burk Sharpless;Matt Sazama,Mystery Clock Cinema;Pyramania;Summit Entertainment,Lamb Of God's As The Palaces Burn,Documentary;Musical,80,2014-02-27,NOT RATED,Don Argott,,SpectiCast,0
1155,1155,A_1731,B_2448,The Secret Life of Walter Mitty,Adventure;Comedy;Drama,73,2013-12-25,PG,Ben Stiller,Steve Conrad;Steve Conrad,Samuel Goldwyn Films;TSG Entertainment;Twentieth Century Fox,BB King: The Life of Riley,Documentary;Musical,86,2014-05-21,NOT RATED,Jon Brewer,,Syndctd Entertainment,0
1907,1907,A_2939,B_1292,I Am the Pretty Thing That Lives in the House,Horror;Thriller,46,2016-10-28,NOT RATED,Oz Perkins,Oz Perkins,Go Insane Films;Paris Film;Zed Filmworks,I Am Thor,Documentary,88,2015-11-20,NOT RATED,Ryan Wise,,Blue Lame 61 Productions,0
766,766,A_1107,B_0897,I Now Pronounce You Chuck & Larry,Comedy;Romance,60,2007-07-20,PG-13,Dennis Dugan,Alexander Payne;Barry Fanaro,Happy Madison Productions;Relativity Media;Universal Pictures,Now You See Me 2,Mystery;Thriller,34,2016-06-10,PG-13,Jon M. Chu,Ed Solomon,Lionsgate,0
161,161,A_0280,B_1134,Pirates of the Caribbean: Dead Men Tell No Tales,Action;Adventure;Fantasy,66,2017-05-26,PG-13,Espen Sandberg;Joachim R�nning,Jeff Nathanson;Jeff Nathanson,Infinitum Nihil;Jerry Bruckheimer Films;Walt Disney Pictures,Tale of Tales (Il racconto dei racconti),Fantasy;Horror;Sci-Fi,82,2016-04-22,R,Matteo Garrone,Edoardo Albinati;Massimo Gaudioso;Matteo Garrone;Ugo Chiti,,0
196,196,A_0315,B_0212,Logan Lucky,Comedy;Drama,71,2017-08-18,PG-13,Steven Soderbergh,Rebecca Blunt,Free Association;Trans-Radial Pictures,Logan Lucky,Comedy,93,2017-08-18,PG-13,Steven Soderbergh,Rebecca Blunt,Fingerprint Releasing / Bleecker Street,1
1040,1040,A_1585,B_0085,"Roman J. Israel, Esq.",Drama,64,2017-11-22,PG-13,Dan Gilroy,Dan Gilroy,Bron Studios;Creative Wealth Media Finance;Cross Creek Pictures,"Roman J. Israel, Esq.",Drama,51,2017-11-22,PG-13,Dan Gilroy,Dan Gilroy,Sony Pictures,1
99,99,A_0198,B_0051,My Friend Dahmer,Documentary;Drama;Horror,64,2018-06-01,R,Marc Meyers,Derf Backderf;Marc Meyers,Aperture Entertainment;Attic Light Films;Ibid Filmworks,My Friend Dahmer,Drama,83,2017-11-03,R,Marc Meyers,Marc Meyers,,1
408,408,A_0626,B_1855,Harry Potter and the Chamber of Secrets,Adventure;Family;Fantasy,74,2002-11-15,PG,Chris Columbus,J.K. Rowling;Steve Kloves,1492 Pictures;Heyday Films;Warner Bros.,The Strange Affair of Uncle Harry (Guilty of Murder?) (1945),Classics;Drama;Mystery;Thriller,80,1945-08-17,NOT RATED,Robert Siodmak,Keith Winter;Stephen Longstreet,,0
533,533,A_0735,B_2196,The Book of Life,Adventure;Animation;Comedy,73,2014-10-17,PG,Jorge R. Guti�rrez,Doug Langdale;Jorge R. Guti�rrez,Chatrone;Reel FX Creative Studios;Twentieth Century Fox,Life Of Crime,Comedy;Drama,65,2014-08-29,R,Daniel Schechter,Daniel Schechter,Roadside Atrractions,0
