Unnamed: 0,_id,ltable_ID,rtable_ID,ltable_Title,ltable_Genre,ltable_Score,ltable_Release Date,ltable_Rating,ltable_Directed By,ltable_Written By,ltable_Studio,rtable_Title,rtable_Genre,rtable_Score,rtable_Release Date,rtable_Rating,rtable_Directed By,rtable_Written By,rtable_Studio,label
133910,133910,A_2088,B_1920,Beauty and the Beast,Fantasy,71,1900-1-1,NOT RATED,,Ron Koslow,Witt/Thomas Productions,Outside Bet,Film-Noir,0,1900-1-1,NOT RATED,Sacha Bennett,Paolo Hewitt,,0
119877,119877,A_1821,B_1102,Arthur,Comedy,74,1900-1-1,TV-Y,,,9 Story Media Group,,,0,1900-1-1,NOT RATED,,,,0
10398,10398,A_0103,B_1102,How to Get Away with Murder,Drama,82,1900-1-1,TV-14,,Peter Nowalk,Shondaland,,,0,1900-1-1,NOT RATED,,,,0
141662,141662,A_2211,B_0502,John Wick: Chapter 3,Thriller,0,2019-05-17,NOT RATED,Chad Stahelski,Derek Kolstad,Lionsgate,John Wick: Chapter 2,Drama,89,2017-02-10,R,Chad Stahelski,Derek Kolstad,Summit Entertainment,0
151041,151041,A_2418,B_0088,The Stand,Fantasy,72,1900-1-1,NOT RATED,,,Greengrass Productions,The Ritual,Film-Noir,71,1900-1-1,NOT RATED,David Bruckner,Adam Nevill,,0
76504,76504,A_0983,B_0849,Lights Out,Horror,63,2016-07-22,PG-13,David F. Sandberg,Eric Heisserer,New Line Cinema,Lights Out,Horror,76,2016-07-22,PG-13,David F. Sandberg,Eric Heisserer,RatPac-Dune Entertainment,1
147609,147609,A_2335,B_1038,The Closer,Drama,76,1900-1-1,NOT RATED,,James Duff,"Shephard/Robin Company, The",The Steps,Drama,33,1900-1-1,NOT RATED,Andrew Currie,Robyn Harding,,0
133402,133402,A_2084,B_0030,The Worst Witch,Fantasy,75,1900-1-1,NOT RATED,,,CBBC In-House,The Outsider,Drama,22,1900-1-1,NOT RATED,Martin Zandvliet,Andrew Baldwin,,0
33984,33984,A_0338,B_0138,The Killing of a Sacred Deer,Drama,71,2017-11-03,R,Yorgos Lanthimos,Yorgos Lanthimos,Element Pictures,The Killing of a Sacred Deer,Drama,79,2017-10-20,R,Yorgos Lanthimos,Yorgos Lanthimos,A24,1
62180,62180,A_0765,B_2978,Monsters University,Comedy,73,2013-06-21,G,Dan Scanlon,Dan Scanlon,Walt Disney Pictures,Monsters University,Action,79,2013-06-21,G,Dan Scanlon,Daniel Gerson,Walt Disney Pictures,1
184716,184716,A_3113,B_0088,The Witcher,Drama,0,1900-1-1,NOT RATED,,,Netflix,The Ritual,Film-Noir,71,1900-1-1,NOT RATED,David Bruckner,Adam Nevill,,0
11296,11296,A_0109,B_0395,The X-Files,Sci-Fi,87,1900-1-1,TV-14,,Chris Carter,Ten Thirteen Productions,The Sea,Drama,47,1900-1-1,NOT RATED,Stephen Brown,John Banville,,0
118071,118071,A_1797,B_0524,Resident Evil: Apocalypse,Horror,62,2004-09-10,R,Alexander Witt,Paul W.S. Anderson,Davis Films / Impact Pictures,Resident Evil: The Final Chapter,Action,36,2017-01-27,R,Paul W.S. Anderson,Paul W.S. Anderson,Sony Pictures,0
155621,155621,A_2517,B_1102,Ao no ekusoshisuto,Drama,77,1900-1-1,TV-14,,,Aniplex,,,0,1900-1-1,NOT RATED,,,,0
13474,13474,A_0124,B_1332,The Originals,Fantasy,83,1900-1-1,TV-14,,Julie Plec,Bonanza Productions,The Inhabitants,Thriller,60,1900-1-1,NOT RATED,Michael Rasmussen (III),Michael Rasmussen (III),,0
44689,44689,A_0516,B_1559,The Crown,Drama,87,1900-1-1,TV-MA,,Peter Morgan,Left Bank Pictures,The Turning,Drama,85,1900-1-1,NOT RATED,Tony Ayres,Andrew Upton,Madman Entertainment,0
168012,168012,A_2796,B_1402,Trainwreck,Comedy,62,2015-07-17,R,Judd Apatow,Amy Schumer,Universal Pictures,Trainwreck,Comedy,86,2015-07-17,R,Judd Apatow,Amy Schumer,Universal Pictures,1
52233,52233,A_0587,B_0820,A Bad Moms Christmas,Comedy,55,2017-11-01,R,Jon Lucas,Jon Lucas,Huayi Brothers Media,Bad Moms,Comedy,58,2016-07-29,R,Jon Lucas,Jon Lucas,Block Entertainment,0
147043,147043,A_2323,B_1102,Sorjonen,Drama,76,1900-1-1,NOT RATED,,Miikko Oikkonen,Federation Entertainment,,,0,1900-1-1,NOT RATED,,,,0
103196,103196,A_1445,B_0641,Silence,Documentary,72,2017-01-13,R,Martin Scorsese,Jay Cocks,Cappa Defina Productions,Silence,Drama,84,2017-01-13,R,Martin Scorsese,Jay Cocks,Paramount Pictures,1
120171,120171,A_1824,B_0750,Suicide Squad: Hell to Pay,Action,0,2018-03-27,R,Sam Liu,Alan Burnett,DC Entertainment,Suicide Squad,Adventure,26,2016-08-05,PG-13,David Ayer,David Ayer,Warner Bros. Pictures,0
59089,59089,A_0723,B_0421,Haven,Fantasy,76,1900-1-1,NOT RATED,,Jim Dunn,Entertainment One,Naked,Comedy,0,1900-1-1,NOT RATED,Michael Tiddes,Marlon Wayans,,0
70449,70449,A_0850,B_0324,Line of Duty,Drama,85,1900-1-1,NOT RATED,,Jed Mercurio,BBC Drama Productions,Cult of Chucky,Horror,82,1900-1-1,R,Don Mancini,Don Mancini,,0
72023,72023,A_0870,B_1102,Under the Dome,Sci-Fi,67,1900-1-1,TV-14,,Brian K. Vaughan,Amblin Television,,,0,1900-1-1,NOT RATED,,,,0
142090,142090,A_2229,B_0608,The Book of Henry,Drama,65,2017-06-23,PG-13,Colin Trevorrow,Gregg Hurwitz,Double Nickel Entertainment,The Book Of Love,Drama,8,2017-01-13,PG-13,Bill Purple,Robbie Pickering,,0
65265,65265,A_0799,B_0030,The Tick,Comedy,74,1900-1-1,TV-MA,,Ben Edlund,Amazon Studios,The Outsider,Drama,22,1900-1-1,NOT RATED,Martin Zandvliet,Andrew Baldwin,,0
122556,122556,A_1853,B_1102,Aqua Teen Hunger Force,Comedy,77,1900-1-1,TV-MA,,Dave Willis,Awesome Incorporated,,,0,1900-1-1,NOT RATED,,,,0
181115,181115,A_3042,B_1102,Blue Mountain State,Comedy,84,1900-1-1,TV-MA,,Eric Falconer,Blue Mountain State Productions,,,0,1900-1-1,NOT RATED,,,,0
148988,148988,A_2354,B_1509,Kyle XY,Drama,76,1900-1-1,NOT RATED,,Eric Bress,ABC Studios,Lyle,Drama,100,1900-1-1,NOT RATED,Stewart Thorndike,Stewart Thorndike,Stewart Thorndike/Alex Scharfman,0
186323,186323,A_3173,B_2373,The New Batman Adventures,Adventure,86,1900-1-1,TV-PG,,Bob Kane,Warner Bros. Animation,The Normal Heart,Drama,94,1900-1-1,R,Ryan Murphy,Larry Kramer,HBO Films,0
52795,52795,A_0591,B_1149,The Hateful Eight,Drama,78,2015-12-30,R,Quentin Tarantino,Quentin Tarantino,Visiona Romantica,The Hateful Eight,Western,75,2015-12-30,R,Quentin Tarantino,Quentin Tarantino,The Weinstein Company,1
40723,40723,A_0432,B_0473,Life,Thriller,66,2017-03-24,R,Daniel Espinosa,Rhett Reese,Columbia Pictures,Life,Drama,67,2017-03-24,R,Daniel Espinosa,Paul Wernick,Skydance Films,1
6328,6328,A_0072,B_0007,The Disaster Artist,Comedy,76,2017-12-08,R,James Franco,Scott Neustadter,Good Universe,The Disaster Artist,Comedy,91,2017-12-08,R,James Franco,Scott Neustadter,A24,1
