,ID,Title,Score,Rating,Genre,Directed By,Written By,Box Office,Release Date,Runtime,Studio
0,A_0005,Jumanji: Welcome to the Jungle,71,PG-13,Comedy,Jake Kasdan,Chris McKenna,400818450,2017-12-20,119,Matt Tolmach Productions
1,A_0007,Thor: Ragnarok,80,PG-13,Comedy,Taika Waititi,Eric Pearson,315058289,2017-11-03,130,Marvel Entertainment
2,A_0012,Justice League,68,PG-13,Fantasy,Zack Snyder,Chris Terrio,229024295,2017-11-17,120,Atlas Entertainment
3,A_2724,Justice League,86,TV-PG,Adventure,,Bob Kane,0,1900-1-1,22,Warner Bros. Animation
4,A_0027,Wonder Woman,75,PG-13,Fantasy,Patty Jenkins,Allan Heinberg,412563408,2017-06-02,141,Warner Bros.
5,A_1483,Wonder Woman,71,TV-G,Drama,,William Moulton Marston,0,1900-1-1,60,Bruce Lansbury Productions
6,A_0031,Dunkirk,80,PG-13,Drama,Christopher Nolan,Christopher Nolan,188373161,2017-07-21,106,Syncopy
7,A_0037,Spider-Man: Homecoming,75,PG-13,Sci-Fi,Jon Watts,Jonathan Goldstein,334201140,2017-07-07,133,Columbia Pictures
8,A_0040,Baby Driver,77,R,Musical,Edgar Wright,Edgar Wright,107825862,2017-06-28,112,TriStar Pictures
9,A_0043,Guardians of the Galaxy Vol. 2,77,PG-13,Sci-Fi,James Gunn,James Gunn,389813101,2017-05-05,136,Marvel Studios
10,A_0048,Valerian and the City of a Thousand Planets,65,PG-13,Fantasy,Luc Besson,Pierre Christin,40479370,2017-07-21,137,EuropaCorp
11,A_0052,Coco,85,PG,Comedy,Lee Unkrich,Lee Unkrich,209242528,2017-11-21,105,Walt Disney Pictures
12,A_0054,Love,77,TV-MA,Comedy,,Judd Apatow,0,1900-1-1,50,Apatow Productions
13,A_1596,Love,60,NOT RATED,Drama,Gaspar Noé,Gaspar Noé,0,2015-10-30,135,Les Cinémas de la Zone
14,A_0056,"I, Tonya",76,R,Comedy,Craig Gillespie,Steven Rogers,29820004,2018-01-19,120,Clubhouse Pictures (II)
15,A_0057,Lady Bird,76,R,Comedy,Greta Gerwig,Greta Gerwig,48882989,2017-12-01,94,Scott Rudin Productions
16,A_0062,Ferdinand,67,PG,Comedy,Carlos Saldanha,Munro Leaf,83802059,2017-12-15,108,Blue Sky Studios
17,A_0063,Pitch Perfect 3,60,PG-13,Comedy,Trish Sie,Kay Cannon,104897530,2017-12-22,93,Gold Circle Films
18,A_0068,Downsizing,57,R,Comedy,Alexander Payne,Alexander Payne,24449754,2017-12-22,135,Paramount Pictures
19,A_0072,The Disaster Artist,76,R,Comedy,James Franco,Scott Neustadter,21120616,2017-12-08,104,Good Universe
20,A_0098,The Outsider,63,TV-MA,Drama,Martin Zandvliet,John Linson,0,2018-03-09,120,Linson Entertainment
21,A_0098,The Outsider,63,TV-MA,Drama,Martin Zandvliet,John Linson,0,2018-03-09,120,Linson Entertainment
22,A_0107,Get Out,77,R,Thriller,Jordan Peele,Jordan Peele,176040665,2017-02-24,104,Universal Pictures
23,A_0110,Blade Runner 2049,81,R,Sci-Fi,Denis Villeneuve,Hampton Fancher,92054159,2017-10-06,164,Alcon Entertainment
24,A_0112,Wind River,78,R,Drama,Taylor Sheridan,Taylor Sheridan,33800859,2017-08-18,107,Acacia Filmed Entertainment
25,A_0115,Mute,54,TV-MA,Sci-Fi,Duncan Jones,Michael Robert Johnson,0,2018-02-23,126,Liberty Films UK
26,A_0121,Ex Machina,77,R,Sci-Fi,Alex Garland,Alex Garland,25442958,2015-04-24,108,Universal Pictures International (UPI)
27,A_0141,The Shape of Water,75,R,Fantasy,Guillermo del Toro,Guillermo del Toro,63028065,2017-12-22,123,Bull Productions
28,A_0144,Fantastic Beasts and Where to Find Them,74,PG-13,Fantasy,David Yates,J.K. Rowling,234037575,2016-11-18,133,Heyday Films
29,A_0145,Deadpool,80,R,Comedy,Tim Miller,Rhett Reese,363070709,2016-02-12,108,Twentieth Century Fox
30,A_2092,Deadpool,55,NOT RATED,Fantasy,,,0,1900-1-1,11,Blinky Productions
31,A_2727,Deadpool,0,NOT RATED,Adventure,,,0,1900-1-1,0,ABC Signature Studios
32,A_0146,Captain America: Civil War,78,PG-13,Sci-Fi,Anthony Russo,Christopher Markus,408084349,2016-05-06,147,Marvel Studios
33,A_0147,Kingsman: The Golden Circle,68,R,Comedy,Matthew Vaughn,Jane Goldman,100234838,2017-09-22,141,Twentieth Century Fox
34,A_0148,Transformers: The Last Knight,52,PG-13,Sci-Fi,Michael Bay,Art Marcum,130168683,2017-06-21,154,Paramount Pictures
35,A_0156,Beauty and the Beast,73,PG,Fantasy,Bill Condon,Stephen Chbosky,504014165,2017-03-17,129,Mandeville Films
36,A_0226,Beauty and the Beast,80,G,Fantasy,Gary Trousdale,Linda Woolverton,218967620,1991-11-22,84,Walt Disney Pictures
37,A_0717,Beauty and the Beast,72,TV-14,Drama,,Sherri Cooper-Landsman,0,1900-1-1,60,Take 5 Productions
38,A_2088,Beauty and the Beast,71,NOT RATED,Fantasy,,Ron Koslow,0,1900-1-1,60,Witt/Thomas Productions
39,A_0157,Suicide Squad,61,PG-13,Fantasy,David Ayer,David Ayer,325100054,2016-08-05,123,Atlas Entertainment
40,A_0161,Moana,76,PG,Comedy,Ron Clements,Jared Bush,248757044,2016-11-23,107,Walt Disney Animation Studios
41,A_0164,Bright,64,TV-MA,Fantasy,David Ayer,Max Landis,0,2017-12-22,117,Clubhouse Pictures (II)
42,A_0165,When We First Met,64,TV-14,Fantasy,Ari Sandel,John Whittington,0,2018-02-09,97,Footprint Features
43,A_0171,It,75,R,Thriller,Andy Muschietti,Chase Palmer,327481748,2017-09-08,135,New Line Cinema
44,A_0436,It,69,TV-14,Drama,,,0,1900-1-1,192,Green/Epstein Productions
45,A_0174,Alien: Covenant,65,R,Thriller,Ridley Scott,Dan O'Bannon,74262031,2017-05-19,122,Twentieth Century Fox
46,A_0176,The Ritual,63,TV-MA,Horror,David Bruckner,Joe Barton,0,2018-02-09,94,Entertainment One
