,_id,ltable_ID,rtable_ID,ltable_Title,ltable_Genre,ltable_Score,ltable_Release Date,ltable_Rating,ltable_Directed By,ltable_Written By,ltable_Studio,rtable_Title,rtable_Genre,rtable_Score,rtable_Release Date,rtable_Rating,rtable_Directed By,rtable_Written By,rtable_Studio,label
783,783,A_0012,B_0704,Justice League,Fantasy,68,2017-11-17,PG-13,Zack Snyder,Chris Terrio,Atlas Entertainment,Justice League Dark,Action,71,1900-1-1,R,Jay Oliva,Ernie Altbacker,,0
1199,1199,A_0016,B_0395,The Flash,Drama,80,1900-1-1,TV-PG,,Greg Berlanti,Berlanti Productions,The Sea,Drama,47,1900-1-1,NOT RATED,Stephen Brown,John Banville,,0
1332,1332,A_0016,B_2592,The Flash,Drama,80,1900-1-1,TV-PG,,Greg Berlanti,Berlanti Productions,The Patrol,Drama,64,1900-1-1,NOT RATED,Tom Petch,Tom Petch,Kasbah-Film Tanger,0
4104,4104,A_0046,B_1102,Prison Break,Drama,84,1900-1-1,TV-14,,Paul Scheuring,Adelstein-Parouse Productions,,,0,1900-1-1,NOT RATED,,,,0
4361,4361,A_0047,B_2257,Ash vs Evil Dead,Fantasy,85,1900-1-1,TV-MA,,Ivan Raimi,Renaissance Pictures,See No Evil 2,Horror,60,1900-1-1,R,Jen Soska,Bobby Lee Darby,Lionsgate Films,0
5077,5077,A_0059,B_1038,The Office,Comedy,88,1900-1-1,TV-PG,,Greg Daniels,Reveille Productions,The Steps,Drama,33,1900-1-1,NOT RATED,Andrew Currie,Robyn Harding,,0
5440,5440,A_0061,B_0924,The Big Bang Theory,Comedy,83,1900-1-1,TV-14,,Chuck Lorre,Chuck Lorre Productions,The Neighbor,Horror,67,1900-1-1,NOT RATED,Marcus Dunstan,Marcus Dunstan,,0
6134,6134,A_0068,B_0009,Downsizing,Comedy,57,2017-12-22,R,Alexander Payne,Alexander Payne,Paramount Pictures,Downsizing,Drama,51,2017-12-22,R,Alexander Payne,Alexander Payne,,1
6328,6328,A_0072,B_0007,The Disaster Artist,Comedy,76,2017-12-08,R,James Franco,Scott Neustadter,Good Universe,The Disaster Artist,Comedy,91,2017-12-08,R,James Franco,Scott Neustadter,A24,1
6425,6425,A_0075,B_1102,Roseanne,Comedy,0,1900-1-1,TV-PG,,Roseanne Barr,Carsey-Werner Company,,,0,1900-1-1,NOT RATED,,,,0
7932,7932,A_0085,B_1102,The Goldbergs,Comedy,82,1900-1-1,TV-PG,,Adam F. Goldberg,Adam F. Goldberg Productions,,,0,1900-1-1,NOT RATED,,,,0
8868,8868,A_0091,B_1102,Two and a Half Men,Comedy,71,1900-1-1,TV-14,,Lee Aronsohn,Chuck Lorre Productions,,,0,1900-1-1,NOT RATED,,,,0
10398,10398,A_0103,B_1102,How to Get Away with Murder,Drama,82,1900-1-1,TV-14,,Peter Nowalk,Shondaland,,,0,1900-1-1,NOT RATED,,,,0
10772,10772,A_0105,B_1102,Collateral,Drama,67,1900-1-1,TV-MA,,,British Broadcasting Corporation (BBC),,,0,1900-1-1,NOT RATED,,,,0
10959,10959,A_0106,B_1102,Law & Order: Special Victims Unit,Drama,81,1900-1-1,TV-14,,Dick Wolf,Wolf Films,,,0,1900-1-1,NOT RATED,,,,0
11296,11296,A_0109,B_0395,The X-Files,Sci-Fi,87,1900-1-1,TV-14,,Chris Carter,Ten Thirteen Productions,The Sea,Drama,47,1900-1-1,NOT RATED,Stephen Brown,John Banville,,0
11338,11338,A_0109,B_0999,The X-Files,Sci-Fi,87,1900-1-1,TV-14,,Chris Carter,Ten Thirteen Productions,600 Miles,Drama,94,1900-1-1,R,Gabriel Ripstein,Issa LÃÂ³pez,,0
11362,11362,A_0109,B_1332,The X-Files,Sci-Fi,87,1900-1-1,TV-14,,Chris Carter,Ten Thirteen Productions,The Inhabitants,Thriller,60,1900-1-1,NOT RATED,Michael Rasmussen (III),Michael Rasmussen (III),,0
11546,11546,A_0111,B_1038,The 100,Sci-Fi,78,1900-1-1,TV-14,,Jason Rothenberg,Bonanza Productions,The Steps,Drama,33,1900-1-1,NOT RATED,Andrew Currie,Robyn Harding,,0
12118,12118,A_0116,B_0925,The Vampire Diaries,Fantasy,78,1900-1-1,TV-14,,Julie Plec,Alloy Entertainment,The White Helmets,Documentary,100,1900-1-1,NOT RATED,Orlando Von Einsiedel,,,0
12318,12318,A_0117,B_1102,13 Reasons Why,Drama,83,1900-1-1,TV-MA,,Brian Yorkey,July Moon Productions,,,0,1900-1-1,NOT RATED,,,,0
12879,12879,A_0120,B_1102,Dexter,Drama,87,1900-1-1,TV-MA,,James Manos Jr.,Showtime Networks,,,0,1900-1-1,NOT RATED,,,,0
